Age,Address,Marital status of household head,Household head kind of business (if business is the source of income),Educational Attainment of the household head,Household head occupation,Household head spouse is employed (y/n),Household type,Spend for Laundry Services (y/n),Pay Tuition fees in cash,"Receive cash receipts, assistance from abroad (y/n)",Household owned motorcycles (y/n),Household owned car (y/n),Spend for maid/boy services (y/n),Household Means in Cooking,Number of own APPLIANCES,Number of phones/gadgets owned,Household House Structure type,Have a sala sets (y/n),Household have toilet facility (y/n),Household have main source of water (y/n),Prediction
43,"P1 Cassava,Barangay Maon",Widower,Vaind Seller,High School Graduate,Sideline,Yes,Normal,Yes,"10,000 and below",Yes,No,Yes,No,LPG,1-2,5 - up,Metal Roof & Hardiflex,No,No,Yes,very poor
30,"P5 Ube,Barangay Maon",Widower,None,College Graduate,Tricycle Driver,No,Normal,Yes,"50,000 - UP",No,Yes,No,Yes,FIREWOOD,3,3-4,Nipa & Wood,No,Yes,No,rich
44,"P5 Ube,Barangay Maon",Widower,None,College Graduate,Coordinator,Yes,Normal,No,"44,000 - 75,000",Yes,Yes,No,Yes,LPG,5,5 - up,Metal Roof & Full Concrete,Yes,No,Yes,above average
68,"P2 Camote,Barangay Maon",Married,None,Elementary Graduate,Glass Installer,No,Extended,No,"10,000 - 22,000",No,Yes,Yes,Yes,FIREWOOD,6,1-2,Metal Roof & Amakan,No,Yes,Yes,poor
28,"P2 Camote,Barangay Maon",Single,Drygoods Retail/ Natasha,College Graduate,Barangay Councilor,Yes,Normal,Yes,"76,000-131,000",Yes,Yes,Yes,Yes,FIREWOOD,3,1-2,Metal Roof & Half Concrete,Yes,Yes,No,rich
52,"P2 Camote,Barangay Maon",Widower,None,High School Graduate,Coordinator,No,Extended,Yes,"10,000 - 22,000",No,No,Yes,No,FIREWOOD,3,3-4,Nipa & Wood,No,Yes,Yes,poor
54,"P3 Kammungay,Barangay Maon",Widower,None,Elementary Graduate,Barangay Councilor,No,Extended,Yes,"76,000-131,000",No,Yes,Yes,No,LPG,3,1-2,Metal Roof & Amakan,No,No,No,rich
42,"P2 Camote,Barangay Maon",Widower,Sari-sari Store/Peso Net,High School Graduate,Senior Citizen,No,Normal,Yes,"44,000 - 75,000",Yes,Yes,Yes,Yes,LPG,6,5 - up,Metal Roof & Full Concrete,No,Yes,No,above average
68,"P5 Ube,Barangay Maon",Widower,Sari-sari Store/Peso Net,Elementary Graduate,Barangay Councilor,Yes,Normal,Yes,"10,000 and below",Yes,Yes,Yes,Yes,LPG,6,1-2,Metal Roof & Full Concrete,No,No,No,very poor
57,"P2 Camote,Barangay Maon",Single,None,College Graduate,Coordinator,Yes,Normal,No,"76,000-131,000",Yes,No,No,No,LPG,6,3-4,Nipa & Wood,No,No,No,rich
56,"P5 Ube,Barangay Maon",Widower,Drygoods Retail/ Natasha,Elementary Graduate,Company Driver,No,Normal,No,"10,000 - 22,000",No,No,Yes,Yes,FIREWOOD,1-2,1-2,Metal Roof & Hardiflex,No,No,No,poor
20,"P5 Ube,Barangay Maon",Single,Sari-sari Store/Peso Net,College Graduate,Coordinator,No,Normal,Yes,"76,000-131,000",Yes,No,No,No,FIREWOOD,5,5 - up,Metal Roof & Full Concrete,Yes,Yes,Yes,rich
37,"P1 Cassava,Barangay Maon",Single,Sari-sari Store/Peso Net,Elementary Graduate,Part time Technician,No,Extended,Yes,"44,000 - 75,000",Yes,No,No,No,LPG,1-2,1-2,Metal Roof & Half Concrete,No,Yes,Yes,above average
22,"P3 Kammungay,Barangay Maon",Married,Sari-sari Store/Peso Net,College Graduate,Businness Onwer,Yes,Normal,Yes,"10,000 and below",Yes,Yes,No,No,LPG,1-2,5 - up,Nipa & Wood,Yes,No,No,very poor
39,"P3 Kammungay,Barangay Maon",Single,Drygoods Retail/ Natasha,Elementary Graduate,Tricycle Driver,Yes,Normal,No,"76,000-131,000",Yes,No,No,No,FIREWOOD,5,1-2,Metal Roof & Amakan,No,No,Yes,rich
26,"P1 Cassava,Barangay Maon",Married,Sari-sari Store/Peso Net,College Graduate,Glass Installer,No,Extended,Yes,"76,000-131,000",No,Yes,Yes,No,FIREWOOD,3,1-2,Metal Roof & Full Concrete,Yes,Yes,No,rich
43,"P2 Camote,Barangay Maon",Widower,None,College Graduate,Senior Citizen,Yes,Normal,No,"10,000 - 22,000",No,Yes,No,Yes,FIREWOOD,6,5 - up,Metal Roof & Full Concrete,No,No,No,poor
46,"P3 Kammungay,Barangay Maon",Widower,Sari-sari Store/Peso Net,College Graduate,Barangay Councilor,Yes,Extended,Yes,"44,000 - 75,000",Yes,No,No,No,FIREWOOD,3,3-4,Metal Roof & Amakan,Yes,No,Yes,above average
21,"P1 Cassava,Barangay Maon",Widower,Vaind Seller,Elementary Graduate,Senior Citizen,Yes,Normal,Yes,"44,000 - 75,000",No,No,Yes,Yes,LPG,6,3-4,Metal Roof & Amakan,Yes,No,No,above average
33,"P3 Kammungay,Barangay Maon",Single,None,Elementary Graduate,Tricycle Driver,Yes,Extended,Yes,"23,000 - 43,000",No,No,Yes,No,FIREWOOD,3,1-2,Metal Roof & Full Concrete,No,No,No,average
70,"P1 Cassava,Barangay Maon",Widower,None,College Graduate,Engineer,Yes,Extended,No,"50,000 - UP",Yes,No,No,Yes,FIREWOOD,6,3-4,Metal Roof & Half Concrete,No,No,Yes,rich
41,"P5 Ube,Barangay Maon",Widower,Sari-sari Store/Peso Net,College Graduate,Company Driver,Yes,Normal,Yes,"44,000 - 75,000",No,No,No,No,LPG,1-2,1-2,Metal Roof & Full Concrete,No,No,Yes,above average
55,"P5 Ube,Barangay Maon",Married,Sari-sari Store/Peso Net,High School Graduate,Part time Technician,Yes,Normal,Yes,"23,000 - 43,000",Yes,No,Yes,Yes,FIREWOOD,3,5 - up,Metal Roof & Full Concrete,Yes,No,Yes,average
57,"P2 Camote,Barangay Maon",Single,Sari-sari Store/Peso Net,Elementary Graduate,Tricycle Driver,No,Normal,No,"10,000 - 22,000",Yes,No,Yes,Yes,LPG,1-2,5 - up,Metal Roof & Hardiflex,No,Yes,Yes,poor
30,"P1 Cassava,Barangay Maon",Single,None,High School Graduate,Engineer,No,Normal,No,"50,000 - UP",Yes,Yes,Yes,No,LPG,5,1-2,Metal Roof & Amakan,No,Yes,No,rich
46,"P1 Cassava,Barangay Maon",Single,Sari-sari Store/Peso Net,High School Graduate,Businness Onwer,No,Normal,Yes,"23,000 - 43,000",No,No,No,No,FIREWOOD,5,1-2,Metal Roof & Amakan,Yes,No,Yes,average
69,"P1 Cassava,Barangay Maon",Single,Sari-sari Store/Peso Net,Elementary Graduate,Tatoo Artist,No,Extended,No,"50,000 - UP",Yes,Yes,No,Yes,FIREWOOD,5,1-2,Metal Roof & Full Concrete,Yes,No,No,rich
38,"P2 Camote,Barangay Maon",Single,Sari-sari Store/Peso Net,College Graduate,Senior Citizen,No,Extended,No,"23,000 - 43,000",Yes,No,No,No,FIREWOOD,5,5 - up,Nipa & Wood,Yes,No,Yes,average
45,"P2 Camote,Barangay Maon",Widower,Vaind Seller,Elementary Graduate,Tricycle Driver,No,Extended,Yes,"50,000 - UP",Yes,No,No,No,FIREWOOD,1-2,5 - up,Nipa & Wood,No,No,No,rich
51,"P1 Cassava,Barangay Maon",Widower,Drygoods Retail/ Natasha,High School Graduate,Orgon Worker,No,Normal,No,"44,000 - 75,000",No,No,No,Yes,FIREWOOD,6,3-4,Metal Roof & Hardiflex,Yes,Yes,No,above average
27,"P3 Kammungay,Barangay Maon",Widower,Vaind Seller,High School Graduate,Part time Technician,No,Normal,Yes,"50,000 - UP",No,Yes,Yes,Yes,LPG,6,5 - up,Metal Roof & Half Concrete,Yes,Yes,No,rich
53,"P3 Kammungay,Barangay Maon",Married,None,Elementary Graduate,None,Yes,Extended,No,"44,000 - 75,000",Yes,Yes,Yes,No,FIREWOOD,1-2,3-4,Metal Roof & Amakan,No,Yes,No,above average
52,"P3 Kammungay,Barangay Maon",Widower,Drygoods Retail/ Natasha,Elementary Graduate,Glass Installer,Yes,Normal,No,"44,000 - 75,000",Yes,Yes,Yes,No,FIREWOOD,6,3-4,Metal Roof & Hardiflex,No,Yes,No,above average
30,"P1 Cassava,Barangay Maon",Single,Drygoods Retail/ Natasha,High School Graduate,Orgon Worker,Yes,Normal,Yes,"50,000 - UP",No,Yes,No,Yes,LPG,5,5 - up,Metal Roof & Half Concrete,No,No,No,rich
58,"P2 Camote,Barangay Maon",Single,Vaind Seller,Elementary Graduate,Businness Onwer,Yes,Extended,Yes,"23,000 - 43,000",No,No,No,Yes,FIREWOOD,5,3-4,Metal Roof & Amakan,Yes,Yes,Yes,average
58,"P3 Kammungay,Barangay Maon",Married,None,College Graduate,Businness Onwer,Yes,Extended,No,"10,000 and below",Yes,No,Yes,Yes,LPG,1-2,3-4,Metal Roof & Amakan,No,No,Yes,very poor
38,"P5 Ube,Barangay Maon",Married,Drygoods Retail/ Natasha,College Graduate,Businness Onwer,No,Normal,No,"50,000 - UP",Yes,No,Yes,No,LPG,1-2,5 - up,Nipa & Wood,No,No,No,rich
21,"P1 Cassava,Barangay Maon",Married,Sari-sari Store/Peso Net,High School Graduate,Senior Citizen,Yes,Extended,No,"44,000 - 75,000",No,No,Yes,Yes,LPG,5,1-2,Metal Roof & Hardiflex,Yes,No,No,above average
67,"P5 Ube,Barangay Maon",Widower,Sari-sari Store/Peso Net,Elementary Graduate,Barangay Councilor,No,Normal,No,"10,000 - 22,000",Yes,No,No,Yes,LPG,5,3-4,Nipa & Wood,No,Yes,Yes,poor
29,"P3 Kammungay,Barangay Maon",Widower,Vaind Seller,High School Graduate,Orgon Worker,Yes,Extended,Yes,"10,000 - 22,000",No,No,Yes,Yes,LPG,6,1-2,Nipa & Wood,No,Yes,Yes,poor
57,"P2 Camote,Barangay Maon",Widower,Drygoods Retail/ Natasha,College Graduate,Tricycle Driver,Yes,Normal,No,"76,000-131,000",Yes,Yes,Yes,Yes,LPG,5,3-4,Metal Roof & Hardiflex,No,No,Yes,rich
60,"P5 Ube,Barangay Maon",Married,Drygoods Retail/ Natasha,College Graduate,Sideline,No,Normal,Yes,"10,000 - 22,000",No,Yes,No,Yes,LPG,1-2,3-4,Metal Roof & Amakan,No,Yes,No,poor
60,"P3 Kammungay,Barangay Maon",Married,None,Elementary Graduate,Barangay Councilor,No,Normal,No,"44,000 - 75,000",No,No,No,Yes,FIREWOOD,6,1-2,Metal Roof & Full Concrete,Yes,No,No,above average
48,"P3 Kammungay,Barangay Maon",Single,None,College Graduate,Tatoo Artist,Yes,Normal,Yes,"50,000 - UP",No,No,Yes,No,FIREWOOD,5,5 - up,Metal Roof & Hardiflex,Yes,No,No,rich
55,"P3 Kammungay,Barangay Maon",Widower,Drygoods Retail/ Natasha,High School Graduate,Sideline,Yes,Normal,Yes,"10,000 - 22,000",Yes,No,No,Yes,LPG,5,3-4,Metal Roof & Amakan,No,No,Yes,poor
52,"P5 Ube,Barangay Maon",Married,Sari-sari Store/Peso Net,High School Graduate,Barangay Councilor,Yes,Normal,No,"76,000-131,000",Yes,Yes,No,No,FIREWOOD,1-2,3-4,Nipa & Wood,No,Yes,Yes,rich
59,"P2 Camote,Barangay Maon",Single,Sari-sari Store/Peso Net,Elementary Graduate,Barangay Councilor,Yes,Normal,Yes,"50,000 - UP",No,No,Yes,Yes,LPG,3,3-4,Nipa & Wood,Yes,No,No,rich
60,"P2 Camote,Barangay Maon",Single,None,College Graduate,Glass Installer,No,Extended,Yes,"10,000 - 22,000",Yes,Yes,Yes,No,FIREWOOD,3,5 - up,Metal Roof & Amakan,No,Yes,No,poor
69,"P3 Kammungay,Barangay Maon",Married,None,College Graduate,Tatoo Artist,Yes,Extended,No,"50,000 - UP",No,Yes,Yes,Yes,FIREWOOD,5,3-4,Nipa & Wood,Yes,No,Yes,rich
53,"P3 Kammungay,Barangay Maon",Married,Drygoods Retail/ Natasha,Elementary Graduate,Coordinator,Yes,Normal,Yes,"10,000 - 22,000",Yes,No,No,No,LPG,3,3-4,Metal Roof & Hardiflex,Yes,Yes,Yes,poor
54,"P1 Cassava,Barangay Maon",Widower,Sari-sari Store/Peso Net,High School Graduate,Company Driver,No,Normal,No,"44,000 - 75,000",Yes,No,No,Yes,FIREWOOD,5,5 - up,Metal Roof & Half Concrete,Yes,No,Yes,above average
29,"P2 Camote,Barangay Maon",Married,Vaind Seller,Elementary Graduate,Glass Installer,No,Normal,No,"10,000 - 22,000",No,No,No,No,LPG,1-2,5 - up,Nipa & Wood,No,Yes,Yes,poor
35,"P5 Ube,Barangay Maon",Widower,None,College Graduate,Sideline,No,Normal,Yes,"50,000 - UP",Yes,No,Yes,Yes,LPG,3,3-4,Metal Roof & Hardiflex,No,No,No,rich
64,"P2 Camote,Barangay Maon",Married,Sari-sari Store/Peso Net,College Graduate,Coordinator,No,Normal,No,"10,000 - 22,000",No,No,No,Yes,FIREWOOD,5,3-4,Metal Roof & Amakan,Yes,Yes,Yes,poor
36,"P2 Camote,Barangay Maon",Widower,Drygoods Retail/ Natasha,College Graduate,Businness Onwer,No,Extended,Yes,"23,000 - 43,000",No,Yes,No,Yes,FIREWOOD,3,1-2,Metal Roof & Half Concrete,Yes,No,Yes,average
56,"P2 Camote,Barangay Maon",Married,Sari-sari Store/Peso Net,College Graduate,Tricycle Driver,Yes,Extended,No,"44,000 - 75,000",Yes,No,Yes,Yes,FIREWOOD,6,3-4,Nipa & Wood,Yes,No,Yes,above average
44,"P2 Camote,Barangay Maon",Married,None,College Graduate,Engineer,No,Extended,Yes,"44,000 - 75,000",No,Yes,No,Yes,LPG,6,1-2,Metal Roof & Full Concrete,Yes,No,Yes,above average
25,"P1 Cassava,Barangay Maon",Single,None,High School Graduate,Coordinator,Yes,Normal,Yes,"50,000 - UP",Yes,Yes,No,Yes,LPG,1-2,1-2,Metal Roof & Half Concrete,Yes,No,Yes,rich
21,"P1 Cassava,Barangay Maon",Married,Vaind Seller,College Graduate,Glass Installer,No,Extended,Yes,"44,000 - 75,000",No,Yes,Yes,Yes,LPG,1-2,3-4,Metal Roof & Full Concrete,No,No,Yes,above average
68,"P1 Cassava,Barangay Maon",Married,None,College Graduate,Company Driver,No,Extended,Yes,"10,000 and below",No,Yes,No,No,LPG,3,3-4,Metal Roof & Amakan,No,No,No,very poor
21,"P1 Cassava,Barangay Maon",Widower,Vaind Seller,College Graduate,Sideline,No,Extended,No,"44,000 - 75,000",Yes,No,No,No,LPG,6,5 - up,Metal Roof & Half Concrete,Yes,No,Yes,above average
44,"P5 Ube,Barangay Maon",Single,Vaind Seller,College Graduate,Engineer,Yes,Extended,Yes,"10,000 - 22,000",Yes,No,Yes,Yes,FIREWOOD,3,5 - up,Metal Roof & Amakan,No,No,No,poor
59,"P1 Cassava,Barangay Maon",Married,Sari-sari Store/Peso Net,College Graduate,Tatoo Artist,No,Normal,No,"10,000 and below",Yes,No,No,Yes,LPG,6,1-2,Metal Roof & Full Concrete,No,No,Yes,very poor
69,"P3 Kammungay,Barangay Maon",Widower,Drygoods Retail/ Natasha,Elementary Graduate,Company Driver,Yes,Extended,Yes,"44,000 - 75,000",Yes,Yes,Yes,Yes,LPG,1-2,5 - up,Metal Roof & Full Concrete,No,No,No,above average
67,"P1 Cassava,Barangay Maon",Widower,Sari-sari Store/Peso Net,High School Graduate,Tricycle Driver,Yes,Normal,No,"23,000 - 43,000",No,No,Yes,Yes,FIREWOOD,6,5 - up,Nipa & Wood,No,No,No,average
40,"P5 Ube,Barangay Maon",Widower,Drygoods Retail/ Natasha,High School Graduate,Senior Citizen,No,Extended,No,"10,000 - 22,000",Yes,Yes,No,No,FIREWOOD,3,1-2,Metal Roof & Hardiflex,Yes,No,Yes,poor
39,"P2 Camote,Barangay Maon",Single,Vaind Seller,High School Graduate,Tricycle Driver,No,Normal,No,"10,000 and below",No,Yes,No,No,FIREWOOD,5,5 - up,Metal Roof & Amakan,Yes,Yes,Yes,very poor
42,"P3 Kammungay,Barangay Maon",Married,Vaind Seller,High School Graduate,Businness Onwer,Yes,Normal,Yes,"44,000 - 75,000",Yes,Yes,No,No,LPG,3,1-2,Metal Roof & Hardiflex,Yes,No,No,above average
21,"P3 Kammungay,Barangay Maon",Widower,Drygoods Retail/ Natasha,Elementary Graduate,Barangay Councilor,Yes,Normal,No,"10,000 - 22,000",No,Yes,No,No,FIREWOOD,6,5 - up,Nipa & Wood,Yes,Yes,Yes,poor
59,"P5 Ube,Barangay Maon",Single,Vaind Seller,College Graduate,Company Driver,No,Normal,No,"10,000 - 22,000",Yes,Yes,Yes,Yes,FIREWOOD,5,3-4,Metal Roof & Amakan,No,Yes,No,poor
46,"P1 Cassava,Barangay Maon",Married,Vaind Seller,High School Graduate,Barangay Councilor,No,Extended,Yes,"44,000 - 75,000",No,Yes,Yes,No,LPG,5,5 - up,Nipa & Wood,Yes,No,No,above average
64,"P2 Camote,Barangay Maon",Married,Drygoods Retail/ Natasha,College Graduate,Businness Onwer,No,Normal,No,"23,000 - 43,000",Yes,Yes,No,No,FIREWOOD,5,1-2,Metal Roof & Full Concrete,No,No,Yes,average
23,"P1 Cassava,Barangay Maon",Widower,Sari-sari Store/Peso Net,College Graduate,Glass Installer,No,Normal,Yes,"76,000-131,000",Yes,No,Yes,No,FIREWOOD,5,1-2,Metal Roof & Amakan,No,Yes,Yes,rich
24,"P5 Ube,Barangay Maon",Widower,Sari-sari Store/Peso Net,High School Graduate,Tricycle Driver,No,Normal,Yes,"44,000 - 75,000",No,Yes,No,No,FIREWOOD,1-2,1-2,Metal Roof & Amakan,No,Yes,Yes,above average
63,"P3 Kammungay,Barangay Maon",Single,Drygoods Retail/ Natasha,Elementary Graduate,Sideline,Yes,Normal,No,"50,000 - UP",No,Yes,No,No,LPG,5,5 - up,Metal Roof & Amakan,No,No,Yes,rich
46,"P1 Cassava,Barangay Maon",Widower,Vaind Seller,High School Graduate,Coordinator,Yes,Normal,Yes,"10,000 - 22,000",No,Yes,No,Yes,FIREWOOD,5,5 - up,Metal Roof & Amakan,No,No,No,poor
32,"P3 Kammungay,Barangay Maon",Widower,Vaind Seller,College Graduate,Part time Technician,No,Normal,Yes,"10,000 - 22,000",Yes,No,No,No,FIREWOOD,6,3-4,Nipa & Wood,No,No,Yes,poor
39,"P2 Camote,Barangay Maon",Single,Sari-sari Store/Peso Net,High School Graduate,Businness Onwer,Yes,Extended,Yes,"76,000-131,000",Yes,No,Yes,No,LPG,3,1-2,Metal Roof & Amakan,No,Yes,No,rich
59,"P2 Camote,Barangay Maon",Married,Drygoods Retail/ Natasha,College Graduate,Coordinator,Yes,Normal,No,"23,000 - 43,000",Yes,Yes,Yes,No,FIREWOOD,3,5 - up,Metal Roof & Amakan,No,No,Yes,average
49,"P5 Ube,Barangay Maon",Married,Sari-sari Store/Peso Net,College Graduate,Part time Technician,No,Normal,Yes,"10,000 - 22,000",Yes,No,Yes,Yes,FIREWOOD,5,1-2,Metal Roof & Hardiflex,No,No,No,poor
61,"P1 Cassava,Barangay Maon",Married,None,College Graduate,Glass Installer,No,Normal,No,"76,000-131,000",Yes,Yes,No,Yes,LPG,6,3-4,Metal Roof & Full Concrete,Yes,Yes,Yes,rich
49,"P3 Kammungay,Barangay Maon",Married,Vaind Seller,High School Graduate,Engineer,No,Extended,No,"10,000 and below",Yes,No,No,No,FIREWOOD,3,1-2,Nipa & Wood,No,Yes,No,very poor
56,"P2 Camote,Barangay Maon",Widower,Drygoods Retail/ Natasha,College Graduate,Senior Citizen,Yes,Normal,No,"50,000 - UP",No,Yes,No,Yes,LPG,5,1-2,Metal Roof & Full Concrete,Yes,Yes,Yes,rich
36,"P5 Ube,Barangay Maon",Single,Drygoods Retail/ Natasha,Elementary Graduate,Tatoo Artist,Yes,Normal,No,"10,000 - 22,000",No,Yes,No,Yes,LPG,3,1-2,Nipa & Wood,Yes,No,No,poor
23,"P1 Cassava,Barangay Maon",Single,Drygoods Retail/ Natasha,Elementary Graduate,Company Driver,No,Extended,Yes,"76,000-131,000",No,No,Yes,Yes,FIREWOOD,5,5 - up,Metal Roof & Half Concrete,No,No,Yes,rich
41,"P1 Cassava,Barangay Maon",Single,Sari-sari Store/Peso Net,Elementary Graduate,Orgon Worker,No,Extended,No,"23,000 - 43,000",Yes,Yes,Yes,Yes,FIREWOOD,5,3-4,Metal Roof & Half Concrete,Yes,No,No,average
44,"P3 Kammungay,Barangay Maon",Widower,Sari-sari Store/Peso Net,College Graduate,Sideline,No,Extended,Yes,"10,000 - 22,000",No,No,Yes,No,FIREWOOD,5,5 - up,Metal Roof & Amakan,No,No,No,poor
28,"P3 Kammungay,Barangay Maon",Single,Sari-sari Store/Peso Net,College Graduate,Part time Technician,No,Normal,Yes,"44,000 - 75,000",Yes,Yes,No,Yes,FIREWOOD,5,5 - up,Metal Roof & Half Concrete,No,No,Yes,above average
46,"P5 Ube,Barangay Maon",Widower,Drygoods Retail/ Natasha,Elementary Graduate,Tatoo Artist,Yes,Extended,No,"10,000 - 22,000",No,No,No,No,FIREWOOD,6,1-2,Metal Roof & Full Concrete,No,Yes,Yes,poor
24,"P2 Camote,Barangay Maon",Married,Sari-sari Store/Peso Net,High School Graduate,None,Yes,Extended,No,"76,000-131,000",No,Yes,Yes,No,LPG,1-2,5 - up,Metal Roof & Hardiflex,No,Yes,No,rich
28,"P2 Camote,Barangay Maon",Widower,Sari-sari Store/Peso Net,Elementary Graduate,Barangay Councilor,Yes,Extended,Yes,"23,000 - 43,000",Yes,Yes,No,Yes,LPG,6,3-4,Metal Roof & Hardiflex,Yes,No,No,average
60,"P1 Cassava,Barangay Maon",Widower,Sari-sari Store/Peso Net,Elementary Graduate,Tatoo Artist,Yes,Normal,No,"76,000-131,000",Yes,Yes,Yes,No,FIREWOOD,5,5 - up,Metal Roof & Full Concrete,No,Yes,Yes,rich
30,"P1 Cassava,Barangay Maon",Married,Vaind Seller,College Graduate,Tatoo Artist,No,Extended,No,"23,000 - 43,000",No,Yes,Yes,No,FIREWOOD,6,3-4,Metal Roof & Half Concrete,No,Yes,No,average
40,"P3 Kammungay,Barangay Maon",Widower,Sari-sari Store/Peso Net,Elementary Graduate,Coordinator,Yes,Normal,No,"44,000 - 75,000",No,Yes,Yes,Yes,LPG,1-2,1-2,Metal Roof & Amakan,No,Yes,Yes,above average
70,"P3 Kammungay,Barangay Maon",Married,Sari-sari Store/Peso Net,Elementary Graduate,Part time Technician,Yes,Normal,Yes,"44,000 - 75,000",No,No,No,No,FIREWOOD,5,5 - up,Nipa & Wood,Yes,No,Yes,above average
33,"P3 Kammungay,Barangay Maon",Married,None,Elementary Graduate,Barangay Councilor,Yes,Extended,No,"23,000 - 43,000",No,No,Yes,Yes,LPG,5,5 - up,Metal Roof & Half Concrete,No,No,No,average
56,"P1 Cassava,Barangay Maon",Widower,Drygoods Retail/ Natasha,College Graduate,Tricycle Driver,Yes,Extended,No,"76,000-131,000",Yes,No,No,No,LPG,5,5 - up,Metal Roof & Half Concrete,No,Yes,Yes,rich
43,"P2 Camote,Barangay Maon",Married,Vaind Seller,College Graduate,Sideline,Yes,Extended,No,"10,000 - 22,000",Yes,Yes,Yes,No,LPG,3,1-2,Metal Roof & Half Concrete,No,Yes,No,poor
24,"P3 Kammungay,Barangay Maon",Single,Vaind Seller,High School Graduate,Businness Onwer,No,Extended,Yes,"10,000 and below",Yes,Yes,No,No,LPG,3,3-4,Metal Roof & Half Concrete,Yes,Yes,Yes,very poor
20,"P1 Cassava,Barangay Maon",Single,None,High School Graduate,Part time Technician,No,Extended,Yes,"76,000-131,000",Yes,No,No,No,FIREWOOD,3,5 - up,Metal Roof & Half Concrete,No,No,No,rich
70,"P1 Cassava,Barangay Maon",Widower,Vaind Seller,College Graduate,Company Driver,No,Extended,Yes,"44,000 - 75,000",No,Yes,Yes,No,LPG,6,3-4,Metal Roof & Hardiflex,No,Yes,No,above average
31,"P2 Camote,Barangay Maon",Single,Drygoods Retail/ Natasha,Elementary Graduate,Senior Citizen,No,Extended,No,"44,000 - 75,000",Yes,No,No,Yes,LPG,5,3-4,Metal Roof & Hardiflex,Yes,Yes,Yes,above average
58,"P5 Ube,Barangay Maon",Married,None,High School Graduate,Orgon Worker,No,Extended,Yes,"50,000 - UP",Yes,No,No,Yes,LPG,6,3-4,Metal Roof & Hardiflex,Yes,No,No,rich
53,"P2 Camote,Barangay Maon",Married,Sari-sari Store/Peso Net,College Graduate,Barangay Councilor,No,Normal,No,"76,000-131,000",No,No,Yes,No,LPG,6,5 - up,Metal Roof & Full Concrete,No,No,No,rich
70,"P2 Camote,Barangay Maon",Married,Vaind Seller,Elementary Graduate,Orgon Worker,No,Normal,Yes,"23,000 - 43,000",No,Yes,No,No,LPG,6,1-2,Metal Roof & Half Concrete,Yes,Yes,No,average
43,"P2 Camote,Barangay Maon",Widower,Sari-sari Store/Peso Net,Elementary Graduate,Glass Installer,Yes,Extended,No,"50,000 - UP",Yes,Yes,No,Yes,LPG,5,5 - up,Metal Roof & Hardiflex,Yes,Yes,No,rich
27,"P2 Camote,Barangay Maon",Widower,Sari-sari Store/Peso Net,College Graduate,Tricycle Driver,No,Normal,No,"76,000-131,000",Yes,Yes,No,No,LPG,5,1-2,Metal Roof & Hardiflex,No,No,Yes,rich
23,"P1 Cassava,Barangay Maon",Married,None,Elementary Graduate,Part time Technician,Yes,Normal,No,"10,000 and below",No,Yes,No,No,FIREWOOD,6,1-2,Metal Roof & Half Concrete,Yes,Yes,Yes,very poor
37,"P1 Cassava,Barangay Maon",Widower,Drygoods Retail/ Natasha,College Graduate,Company Driver,Yes,Extended,No,"44,000 - 75,000",Yes,No,No,No,FIREWOOD,1-2,3-4,Nipa & Wood,No,No,No,above average
65,"P1 Cassava,Barangay Maon",Widower,Drygoods Retail/ Natasha,High School Graduate,Businness Onwer,Yes,Normal,Yes,"10,000 - 22,000",No,No,No,No,FIREWOOD,5,1-2,Metal Roof & Hardiflex,Yes,Yes,No,poor
26,"P3 Kammungay,Barangay Maon",Single,Sari-sari Store/Peso Net,High School Graduate,Tricycle Driver,Yes,Normal,Yes,"10,000 - 22,000",No,No,No,No,LPG,6,3-4,Metal Roof & Amakan,No,Yes,No,poor
36,"P1 Cassava,Barangay Maon",Single,None,High School Graduate,Senior Citizen,Yes,Normal,No,"10,000 - 22,000",No,No,Yes,No,LPG,1-2,5 - up,Nipa & Wood,No,Yes,No,poor
34,"P3 Kammungay,Barangay Maon",Married,Vaind Seller,College Graduate,Coordinator,Yes,Normal,Yes,"10,000 and below",Yes,No,Yes,Yes,LPG,6,1-2,Metal Roof & Amakan,Yes,No,Yes,very poor
30,"P5 Ube,Barangay Maon",Married,Vaind Seller,College Graduate,Company Driver,Yes,Normal,No,"76,000-131,000",Yes,No,Yes,Yes,LPG,6,1-2,Metal Roof & Half Concrete,No,Yes,No,rich
43,"P1 Cassava,Barangay Maon",Married,Drygoods Retail/ Natasha,High School Graduate,Coordinator,Yes,Extended,Yes,"44,000 - 75,000",No,No,No,No,LPG,3,3-4,Metal Roof & Amakan,No,Yes,Yes,above average
20,"P3 Kammungay,Barangay Maon",Widower,None,College Graduate,Tatoo Artist,Yes,Extended,No,"76,000-131,000",Yes,Yes,No,No,FIREWOOD,3,1-2,Metal Roof & Full Concrete,Yes,Yes,Yes,rich
61,"P5 Ube,Barangay Maon",Married,None,College Graduate,Tricycle Driver,No,Normal,Yes,"23,000 - 43,000",No,No,No,No,LPG,3,5 - up,Metal Roof & Half Concrete,No,Yes,Yes,average
40,"P1 Cassava,Barangay Maon",Married,Sari-sari Store/Peso Net,Elementary Graduate,Businness Onwer,Yes,Extended,Yes,"23,000 - 43,000",Yes,No,Yes,No,LPG,6,3-4,Metal Roof & Amakan,Yes,No,No,average
